,name,country,sport,g_medal,s_medal,b_medal
2059,gregory wathelet,BEL,Equestrian,0,0,1
2060,cory juneau,USA,Skateboarding,0,0,1
2061,rebecca parkes,HUN,Water Polo,0,0,1
2062,natasa rybanska,HUN,Water Polo,0,0,1
2063,marta fiedina,UKR,Artistic Swimming,0,0,1
2064,marta fiedina,UKR,Artistic Swimming,0,0,1
2065,juan ramon francisco gonzalez,DOM,Baseball/Softball,0,0,1
2066,giovanna scoccimarro,GER,Judo,0,0,1
2067,zifeng wang,CHN,Rowing,0,0,1
2068,zulfiya chinshanlo,KAZ,Weightlifting,0,0,1
2069,taylor manson,USA,Athletics,0,0,1
2070,igor son,KAZ,Weightlifting,0,0,1
2071,sydney pickrem,CAN,Swimming,0,0,1
2072,wai sze lee,HKG,Cycling Track,0,0,1
2073,radek slouf,CZE,Canoe Sprint,0,0,1
2074,bruno rosetti,ITA,Rowing,0,0,1
2075,joachim sutton,DEN,Rowing,0,0,1
2076,gonzalo perez de vargas moreno,ESP,Handball,0,0,1
